y,x,d,t
21,10,1,4
-2,-2,-2,-2
-4,-4,-4,-4
21,10,2,4
-2,-2,-2,-2
-4,-4,-4,-4
21,10,3,4
-2,-2,-2,-2
-4,-4,-4,-4
21,10,0,4
-2,-2,-2,-2
-4,-4,-4,-4
21,10,0,4
-2,-2,-2,-2
-4,-4,-4,-4
21,10,1,4
-2,-2,-2,-2
-4,-4,-4,-4
21,10,0,4
-2,-2,-2,-2
-4,-4,-4,-4
21,10,0,4
-2,-2,-2,-2
-4,-4,-4,-4
21,10,0,4
-2,-2,-2,-2
-4,-4,-4,-4
21,10,0,4
-2,-2,-2,-2
-4,-4,-4,-4
21,10,0,4
-2,-2,-2,-2
-4,-4,-4,-4
21,10,1,4
-2,-2,-2,-2
-4,-4,-4,-4
21,10,2,4
-2,-2,-2,-2
-4,-4,-4,-4
20,10,2,4
-2,-2,-2,-2
-4,-4,-4,-4
19,10,2,4
-2,-2,-2,-2
-4,-4,-4,-4
19,10,3,4
-2,-2,-2,-2
-4,-4,-4,-4
19,10,0,4
-2,-2,-2,-2
-4,-4,-4,-4
19,10,1,4
-2,-2,-2,-2
-4,-4,-4,-4
19,11,1,4
-2,-2,-2,-2
-4,-4,-4,-4
19,12,1,4
-2,-2,-2,-2
-4,-4,-4,-4
19,12,1,4
-2,-2,-2,-2
-4,-4,-4,-4
19,12,2,4
-2,-2,-2,-2
-4,-4,-4,-4
19,12,1,4
-2,-2,-2,-2
-4,-4,-4,-4
19,12,1,4
-2,-2,-2,-2
-4,-4,-4,-4
19,12,2,4
-2,-2,-2,-2
-4,-4,-4,-4
19,12,1,4
-2,-2,-2,-2
-4,-4,-4,-4
19,12,2,4
-2,-2,-2,-2
-4,-4,-4,-4
19,12,3,4
-2,-2,-2,-2
-4,-4,-4,-4
19,12,0,4
-2,-2,-2,-2
-4,-4,-4,-4
19,12,1,4
-2,-2,-2,-2
-4,-4,-4,-4
19,12,1,4
-2,-2,-2,-2
-4,-4,-4,-4
19,12,2,4
-2,-2,-2,-2
-4,-4,-4,-4
19,12,1,4
-2,-2,-2,-2
-4,-4,-4,-4
19,12,1,4
-2,-2,-2,-2
-4,-4,-4,-4
19,12,1,4
-2,-2,-2,-2
-4,-4,-4,-4
19,12,1,4
-2,-2,-2,-2
-4,-4,-4,-4
19,12,1,4
-2,-2,-2,-2
-4,-4,-4,-4
19,12,2,4
-2,-2,-2,-2
-4,-4,-4,-4
19,12,3,4
-2,-2,-2,-2
-4,-4,-4,-4
19,11,3,4
-2,-2,-2,-2
-4,-4,-4,-4
19,10,3,4
-2,-2,-2,-2
-4,-4,-4,-4
19,10,0,4
-2,-2,-2,-2
-4,-4,-4,-4
19,10,1,4
-2,-2,-2,-2
-4,-4,-4,-4
19,10,2,4
-2,-2,-2,-2
-4,-4,-4,-4
18,10,2,4
-2,-2,-2,-2
-4,-4,-4,-4
17,10,2,4
-2,-2,-2,-2
-4,-4,-4,-4
16,10,2,4
-2,-2,-2,-2
-4,-4,-4,-4
16,10,3,4
-2,-2,-2,-2
-4,-4,-4,-4
16,10,2,4
-2,-2,-2,-2
-4,-4,-4,-4
15,10,2,4
-2,-2,-2,-2
-4,-4,-4,-4
15,10,3,4
-2,-2,-2,-2
-4,-4,-4,-4
15,10,2,4
-2,-2,-2,-2
-4,-4,-4,-4
15,10,3,4
-2,-2,-2,-2
-4,-4,-4,-4
15,10,0,4
-2,-2,-2,-2
-4,-4,-4,-4
15,10,1,4
-2,-2,-2,-2
-4,-4,-4,-4
15,10,2,4
-2,-2,-2,-2
-4,-4,-4,-4
14,10,2,4
-2,-2,-2,-2
-4,-4,-4,-4
14,10,3,4
-2,-2,-2,-2
-4,-4,-4,-4
14,10,2,4
-2,-2,-2,-2
-4,-4,-4,-4
13,10,2,4
-2,-2,-2,-2
-4,-4,-4,-4
12,10,2,4
-2,-2,-2,-2
-4,-4,-4,-4
11,10,2,4
-2,-2,-2,-2
-4,-4,-4,-4
10,10,2,4
-2,-2,-2,-2
-4,-4,-4,-4
10,10,3,4
-2,-2,-2,-2
-4,-4,-4,-4
10,10,0,4
-2,-2,-2,-2
-4,-4,-4,-4
11,10,0,4
-2,-2,-2,-2
-4,-4,-4,-4
12,10,0,4
